accession_version	isolate	locus	primary_accession
5GMQ_A		5GMQ_A	5GMQ_A
AUM60032.1	Bat-CoV/P.khulii/Italy/206645-63/2011	AUM60032	AUM60032
AUM60031.1	Bat-CoV/P.khulii/Italy/206645-63/2011	AUM60031	AUM60031
AUM60030.1	Bat-CoV/P.khulii/Italy/206645-63/2011	AUM60030	AUM60030
AUM60029.1	Bat-CoV/P.khulii/Italy/206645-63/2011	AUM60029	AUM60029
AUM60028.1	Bat-CoV/P.khulii/Italy/206645-63/2011	AUM60028	AUM60028
AUM60027.1	Bat-CoV/P.khulii/Italy/206645-63/2011	AUM60027	AUM60027
AUM60026.1	Bat-CoV/P.khulii/Italy/206645-63/2011	AUM60026	AUM60026
AUM60025.1	Bat-CoV/P.khulii/Italy/206645-63/2011	AUM60025	AUM60025
AUM60024.1	Bat-CoV/P.khulii/Italy/206645-63/2011	AUM60024	AUM60024
AUM60023.1	Bat-CoV/P.khulii/Italy/206645-63/2011	AUM60023	AUM60023
AUM60022.1	Bat-CoV/H.savii/Italy/206645-40/2011	AUM60022	AUM60022
AUM60021.1	Bat-CoV/H.savii/Italy/206645-40/2011	AUM60021	AUM60021
AUM60020.1	Bat-CoV/H.savii/Italy/206645-40/2011	AUM60020	AUM60020
AUM60019.1	Bat-CoV/H.savii/Italy/206645-40/2011	AUM60019	AUM60019
AUM60018.1	Bat-CoV/H.savii/Italy/206645-40/2011	AUM60018	AUM60018
AUM60017.1	Bat-CoV/H.savii/Italy/206645-40/2011	AUM60017	AUM60017
AUM60016.1	Bat-CoV/H.savii/Italy/206645-40/2011	AUM60016	AUM60016
AUM60015.1	Bat-CoV/H.savii/Italy/206645-40/2011	AUM60015	AUM60015
AUM60014.1	Bat-CoV/H.savii/Italy/206645-40/2011	AUM60014	AUM60014
AUM60013.1	Bat-CoV/H.savii/Italy/206645-40/2011	AUM60013	AUM60013
AQZ41385.1		AQZ41385	AQZ41385
AQZ41384.1		AQZ41384	AQZ41384
AQZ41383.1		AQZ41383	AQZ41383
AQZ41382.1		AQZ41382	AQZ41382
AQZ41381.1		AQZ41381	AQZ41381
AQZ41380.1		AQZ41380	AQZ41380
AQZ41379.1		AQZ41379	AQZ41379
AQZ41378.1		AQZ41378	AQZ41378
AQZ41377.1		AQZ41377	AQZ41377
AQZ41376.1		AQZ41376	AQZ41376
AQZ41375.1		AQZ41375	AQZ41375
AQZ41374.1		AQZ41374	AQZ41374
AQZ41373.1		AQZ41373	AQZ41373
AQZ41372.1		AQZ41372	AQZ41372
AQZ41371.1		AQZ41371	AQZ41371
AQZ41370.1		AQZ41370	AQZ41370
AQZ41369.1		AQZ41369	AQZ41369
AQZ41368.1		AQZ41368	AQZ41368
AQZ41367.1		AQZ41367	AQZ41367
AQZ41366.1		AQZ41366	AQZ41366
AQZ41365.1		AQZ41365	AQZ41365
AQZ41364.1		AQZ41364	AQZ41364
AQZ41363.1		AQZ41363	AQZ41363
AQZ41362.1		AQZ41362	AQZ41362
AQZ41361.1		AQZ41361	AQZ41361
AQZ41360.1		AQZ41360	AQZ41360
AQZ41359.1		AQZ41359	AQZ41359
AQZ41358.1		AQZ41358	AQZ41358
AQZ41357.1		AQZ41357	AQZ41357
AQZ41356.1		AQZ41356	AQZ41356
AQZ41355.1		AQZ41355	AQZ41355
AQZ41354.1		AQZ41354	AQZ41354
AQZ41353.1		AQZ41353	AQZ41353
AQZ41352.1		AQZ41352	AQZ41352
AQZ41351.1		AQZ41351	AQZ41351
AQZ41350.1		AQZ41350	AQZ41350
AQZ41349.1		AQZ41349	AQZ41349
AQZ41348.1		AQZ41348	AQZ41348
AQZ41347.1		AQZ41347	AQZ41347
AQZ41346.1		AQZ41346	AQZ41346
AQZ41345.1		AQZ41345	AQZ41345
AQZ41344.1		AQZ41344	AQZ41344
AQZ41343.1		AQZ41343	AQZ41343
AQZ41342.1		AQZ41342	AQZ41342
AQZ41341.1		AQZ41341	AQZ41341
AQZ41340.1		AQZ41340	AQZ41340
AQZ41339.1		AQZ41339	AQZ41339
AQZ41338.1		AQZ41338	AQZ41338
AQZ41337.1		AQZ41337	AQZ41337
AQZ41336.1		AQZ41336	AQZ41336
AQZ41335.1		AQZ41335	AQZ41335
AQZ41334.1		AQZ41334	AQZ41334
AQZ41333.1		AQZ41333	AQZ41333
AQZ41332.1		AQZ41332	AQZ41332
AQZ41331.1		AQZ41331	AQZ41331
AQZ41330.1		AQZ41330	AQZ41330
AQZ41329.1		AQZ41329	AQZ41329
AQZ41328.1		AQZ41328	AQZ41328
AQZ41327.1		AQZ41327	AQZ41327
AQZ41326.1		AQZ41326	AQZ41326
AQZ41325.1		AQZ41325	AQZ41325
AQZ41324.1		AQZ41324	AQZ41324
AQZ41323.1		AQZ41323	AQZ41323
AQZ41322.1		AQZ41322	AQZ41322
AQZ41321.1		AQZ41321	AQZ41321
AQZ41320.1		AQZ41320	AQZ41320
AQZ41319.1		AQZ41319	AQZ41319
AQZ41318.1		AQZ41318	AQZ41318
AQZ41317.1		AQZ41317	AQZ41317
AQZ41316.1		AQZ41316	AQZ41316
AQZ41315.1		AQZ41315	AQZ41315
AQZ41314.1		AQZ41314	AQZ41314
AQZ41313.1		AQZ41313	AQZ41313
AQZ41312.1		AQZ41312	AQZ41312
AQZ41311.1		AQZ41311	AQZ41311
AQZ41310.1		AQZ41310	AQZ41310
AQZ41309.1		AQZ41309	AQZ41309
AQZ41308.1		AQZ41308	AQZ41308
AQZ41307.1		AQZ41307	AQZ41307
AQZ41306.1		AQZ41306	AQZ41306
AQZ41305.1		AQZ41305	AQZ41305
AQZ41304.1		AQZ41304	AQZ41304
AQZ41303.1		AQZ41303	AQZ41303
AQZ41302.1		AQZ41302	AQZ41302
AQZ41301.1		AQZ41301	AQZ41301
AQZ41300.1		AQZ41300	AQZ41300
AQZ41299.1		AQZ41299	AQZ41299
AQZ41298.1		AQZ41298	AQZ41298
AQZ41297.1		AQZ41297	AQZ41297
AQZ41296.1		AQZ41296	AQZ41296
AQZ41295.1		AQZ41295	AQZ41295
AQZ41294.1		AQZ41294	AQZ41294
AQZ41293.1		AQZ41293	AQZ41293
AQZ41292.1		AQZ41292	AQZ41292
AQZ41291.1		AQZ41291	AQZ41291
AQZ41290.1		AQZ41290	AQZ41290
AQZ41289.1		AQZ41289	AQZ41289
AQZ41288.1		AQZ41288	AQZ41288
AQZ41287.1		AQZ41287	AQZ41287
AQZ41286.1		AQZ41286	AQZ41286
AQZ41285.1		AQZ41285	AQZ41285
AQZ41284.1		AQZ41284	AQZ41284
ASU45881.1		ASU45881	ASU45881
ASU45880.1		ASU45880	ASU45880
ASU45879.1		ASU45879	ASU45879
ASU45878.1		ASU45878	ASU45878
ASU45877.1		ASU45877	ASU45877
ASU45876.1		ASU45876	ASU45876
ASU45875.1		ASU45875	ASU45875
ASU45874.1		ASU45874	ASU45874
ASU45873.1		ASU45873	ASU45873
ASU45872.1		ASU45872	ASU45872
ASU45871.1		ASU45871	ASU45871
ASU45870.1		ASU45870	ASU45870
ASU45869.1		ASU45869	ASU45869
ASU45868.1		ASU45868	ASU45868
ASU45867.1		ASU45867	ASU45867
ASU45866.1		ASU45866	ASU45866
ASU45865.1		ASU45865	ASU45865
ASU45864.1		ASU45864	ASU45864
ASU45863.1		ASU45863	ASU45863
ASU45862.1		ASU45862	ASU45862
ASU45861.1		ASU45861	ASU45861
ASU45860.1		ASU45860	ASU45860
ASU45859.1		ASU45859	ASU45859
ASU45858.1		ASU45858	ASU45858
ASU45857.1		ASU45857	ASU45857
ASU45856.1		ASU45856	ASU45856
ASU45855.1		ASU45855	ASU45855
ASU45854.1		ASU45854	ASU45854
ASU45853.1		ASU45853	ASU45853
ASU45852.1		ASU45852	ASU45852
ASU45851.1		ASU45851	ASU45851
ASU45850.1		ASU45850	ASU45850
ASU45849.1		ASU45849	ASU45849
ASU45848.1		ASU45848	ASU45848
ASU45847.1		ASU45847	ASU45847
ASU45846.1		ASU45846	ASU45846
ASU45845.1		ASU45845	ASU45845
ASU45844.1		ASU45844	ASU45844
ASU45843.1		ASU45843	ASU45843
ASU45842.1		ASU45842	ASU45842
ASU45841.1		ASU45841	ASU45841
ASU45840.1		ASU45840	ASU45840
ASU45839.1		ASU45839	ASU45839
ASU45838.1		ASU45838	ASU45838
ASU45837.1		ASU45837	ASU45837
ASU45836.1		ASU45836	ASU45836
ASU45835.1		ASU45835	ASU45835
ASU45834.1		ASU45834	ASU45834
ASU45833.1		ASU45833	ASU45833
ASU45832.1		ASU45832	ASU45832
ASU45831.1		ASU45831	ASU45831
ASU45830.1		ASU45830	ASU45830
ASU45829.1		ASU45829	ASU45829
ASU45828.1		ASU45828	ASU45828
ASU45827.1		ASU45827	ASU45827
ASU45826.1		ASU45826	ASU45826
ASU45825.1		ASU45825	ASU45825
ASU45824.1		ASU45824	ASU45824
ASU45823.1		ASU45823	ASU45823
ASU45822.1		ASU45822	ASU45822
ASU45821.1		ASU45821	ASU45821
ASU45820.1		ASU45820	ASU45820
ASU45819.1		ASU45819	ASU45819
ASU45818.1		ASU45818	ASU45818
ASU45817.1		ASU45817	ASU45817
ASU45816.1		ASU45816	ASU45816
ASU45815.1		ASU45815	ASU45815
ASU45814.1		ASU45814	ASU45814
ASU45813.1		ASU45813	ASU45813
ASU45812.1		ASU45812	ASU45812
ASU45811.1		ASU45811	ASU45811
ASU45810.1		ASU45810	ASU45810
ASU45809.1		ASU45809	ASU45809
ASU45808.1		ASU45808	ASU45808
ASU45807.1		ASU45807	ASU45807
ASU45806.1		ASU45806	ASU45806
ASU45805.1		ASU45805	ASU45805
ASU45804.1		ASU45804	ASU45804
ASU45803.1		ASU45803	ASU45803
ASU45802.1		ASU45802	ASU45802
ASU45801.1		ASU45801	ASU45801
ASU45800.1		ASU45800	ASU45800
ASU45799.1		ASU45799	ASU45799
ASU45798.1		ASU45798	ASU45798
ASU45797.1		ASU45797	ASU45797
ASU45796.1		ASU45796	ASU45796
ASU45795.1		ASU45795	ASU45795
ASU45794.1		ASU45794	ASU45794
ASU45793.1		ASU45793	ASU45793
ASU45792.1		ASU45792	ASU45792
ASU45791.1		ASU45791	ASU45791
ASU45790.1		ASU45790	ASU45790
ASU45789.1		ASU45789	ASU45789
ASU45788.1		ASU45788	ASU45788
ASU45787.1		ASU45787	ASU45787
ASU45786.1		ASU45786	ASU45786
ASU45785.1		ASU45785	ASU45785
ASU45784.1		ASU45784	ASU45784
ASU45783.1		ASU45783	ASU45783
ASU45782.1		ASU45782	ASU45782
ASU45781.1		ASU45781	ASU45781
ASU45780.1		ASU45780	ASU45780
ASU45779.1		ASU45779	ASU45779
ASU45778.1		ASU45778	ASU45778
ASU45777.1		ASU45777	ASU45777
ASU45776.1		ASU45776	ASU45776
ASU45775.1		ASU45775	ASU45775
ASU45774.1		ASU45774	ASU45774
ASU45773.1		ASU45773	ASU45773
ASU45772.1		ASU45772	ASU45772
ASU45771.1		ASU45771	ASU45771
ASU45770.1		ASU45770	ASU45770
ASU45769.1		ASU45769	ASU45769
ASU45768.1		ASU45768	ASU45768
ASU45767.1		ASU45767	ASU45767
ASU45766.1		ASU45766	ASU45766
ASU45765.1		ASU45765	ASU45765
ASU45764.1		ASU45764	ASU45764
ASU45763.1		ASU45763	ASU45763
ASU45762.1		ASU45762	ASU45762
ASU45761.1		ASU45761	ASU45761
ASU45760.1		ASU45760	ASU45760
ASU45759.1		ASU45759	ASU45759
ASU45758.1		ASU45758	ASU45758
ASU45757.1		ASU45757	ASU45757
ASU45756.1		ASU45756	ASU45756
ASU45755.1		ASU45755	ASU45755
ASU45754.1		ASU45754	ASU45754
ASU45753.1		ASU45753	ASU45753
ASU45752.1		ASU45752	ASU45752
ASU45751.1		ASU45751	ASU45751
ASU45750.1		ASU45750	ASU45750
ASU45749.1		ASU45749	ASU45749
ASU45748.1		ASU45748	ASU45748
ASU45747.1		ASU45747	ASU45747
ASU45746.1		ASU45746	ASU45746
ASU45745.1		ASU45745	ASU45745
ASU45744.1		ASU45744	ASU45744
ASU45743.1		ASU45743	ASU45743
ASU45742.1		ASU45742	ASU45742
ASU45741.1		ASU45741	ASU45741
ASU45740.1		ASU45740	ASU45740
ASU45739.1		ASU45739	ASU45739
ASU45738.1		ASU45738	ASU45738
ASU45737.1		ASU45737	ASU45737
ASU45736.1		ASU45736	ASU45736
ASU45735.1		ASU45735	ASU45735
ASU45734.1		ASU45734	ASU45734
ASU45733.1		ASU45733	ASU45733
ASU45732.1		ASU45732	ASU45732
ASU45731.1		ASU45731	ASU45731
ASU45730.1		ASU45730	ASU45730
ASU45729.1		ASU45729	ASU45729
ASU45728.1		ASU45728	ASU45728
ASU45727.1		ASU45727	ASU45727
ASU45726.1		ASU45726	ASU45726
ASU45725.1		ASU45725	ASU45725
ASU45724.1		ASU45724	ASU45724
ASU45723.1		ASU45723	ASU45723
ASU45722.1		ASU45722	ASU45722
ASU45721.1		ASU45721	ASU45721
ASU45720.1		ASU45720	ASU45720
ASU45719.1		ASU45719	ASU45719
ASU45718.1		ASU45718	ASU45718
ASU45717.1		ASU45717	ASU45717
ASU45716.1		ASU45716	ASU45716
ASU45715.1		ASU45715	ASU45715
ASU45714.1		ASU45714	ASU45714
ASU45713.1		ASU45713	ASU45713
ASU45712.1		ASU45712	ASU45712
ASU45711.1		ASU45711	ASU45711
ASU45710.1		ASU45710	ASU45710
ASU45709.1		ASU45709	ASU45709
ASU45708.1		ASU45708	ASU45708
ASU45707.1		ASU45707	ASU45707
ASU45706.1		ASU45706	ASU45706
ASU45705.1		ASU45705	ASU45705
ASU45704.1		ASU45704	ASU45704
ASU45703.1		ASU45703	ASU45703
ASU45702.1		ASU45702	ASU45702
ASU45701.1		ASU45701	ASU45701
ASU45700.1		ASU45700	ASU45700
ASU45699.1		ASU45699	ASU45699
ASU45698.1		ASU45698	ASU45698
ASU45697.1		ASU45697	ASU45697
ASU45696.1		ASU45696	ASU45696
ASU45695.1		ASU45695	ASU45695
AQZ41283.1		AQZ41283	AQZ41283
AQZ41282.1		AQZ41282	AQZ41282
AQZ41281.1		AQZ41281	AQZ41281
AQZ41280.1		AQZ41280	AQZ41280
AQZ41279.1		AQZ41279	AQZ41279
ATY74422.1		ATY74422	ATY74422
ATY74421.1		ATY74421	ATY74421
ATY74420.1		ATY74420	ATY74420
ATY74419.1		ATY74419	ATY74419
ATY74418.1		ATY74418	ATY74418
ATY74417.1		ATY74417	ATY74417
ATY74416.1		ATY74416	ATY74416
ATY74415.1		ATY74415	ATY74415
ATY74414.1		ATY74414	ATY74414
ATY74413.1		ATY74413	ATY74413
ATY74412.1		ATY74412	ATY74412
ATY74411.1		ATY74411	ATY74411
ATY74410.1		ATY74410	ATY74410
ATY74409.1		ATY74409	ATY74409
ATY74408.1		ATY74408	ATY74408
ATY74407.1		ATY74407	ATY74407
ATY74406.1		ATY74406	ATY74406
ATY74405.1		ATY74405	ATY74405
ATY74404.1		ATY74404	ATY74404
ATY74403.1		ATY74403	ATY74403
ATY74402.1		ATY74402	ATY74402
ATY74401.1		ATY74401	ATY74401
ATY74400.1		ATY74400	ATY74400
ATY74399.1		ATY74399	ATY74399
ATY74398.1		ATY74398	ATY74398
ATY74397.1		ATY74397	ATY74397
ATY74396.1		ATY74396	ATY74396
ATY74395.1		ATY74395	ATY74395
ATY74394.1		ATY74394	ATY74394
ATY74393.1		ATY74393	ATY74393
ATY74392.1		ATY74392	ATY74392
ATY74391.1		ATY74391	ATY74391
ATY74390.1		ATY74390	ATY74390
ATY74389.1		ATY74389	ATY74389
ATY74388.1		ATY74388	ATY74388
ATY74387.1		ATY74387	ATY74387
ATY74386.1		ATY74386	ATY74386
ATY74385.1		ATY74385	ATY74385
ATY74384.1		ATY74384	ATY74384
ATY74383.1		ATY74383	ATY74383
ATY74382.1		ATY74382	ATY74382
ATY74381.1		ATY74381	ATY74381
ATY74380.1		ATY74380	ATY74380
ATY74379.1		ATY74379	ATY74379
ATW75480.1		ATW75480	ATW75480
ATW75479.1		ATW75479	ATW75479
ATW75478.1		ATW75478	ATW75478
ATW75477.1		ATW75477	ATW75477
ASU91332.1		ASU91332	ASU91332
ASU91331.1		ASU91331	ASU91331
ASU91330.1		ASU91330	ASU91330
ASU91329.1		ASU91329	ASU91329
ASU91328.1		ASU91328	ASU91328
ASU91327.1		ASU91327	ASU91327
ASU91326.1		ASU91326	ASU91326
ASU91325.1		ASU91325	ASU91325
ASU91324.1		ASU91324	ASU91324
ASU91323.1		ASU91323	ASU91323
ASU91322.1		ASU91322	ASU91322
ASU91321.1		ASU91321	ASU91321
ASU91320.1		ASU91320	ASU91320
ASU91319.1		ASU91319	ASU91319
ASU91318.1		ASU91318	ASU91318
ASU91317.1		ASU91317	ASU91317
ASU91316.1		ASU91316	ASU91316
ASU91315.1		ASU91315	ASU91315
ASU91314.1		ASU91314	ASU91314
ASU91313.1		ASU91313	ASU91313
ASU91312.1		ASU91312	ASU91312
ASU91311.1		ASU91311	ASU91311
ASU91310.1		ASU91310	ASU91310
ASU91309.1		ASU91309	ASU91309
ASU91308.1		ASU91308	ASU91308
ASU91307.1		ASU91307	ASU91307
ASU91306.1		ASU91306	ASU91306
ASU91305.1		ASU91305	ASU91305
ASU91304.1		ASU91304	ASU91304
ASU91303.1		ASU91303	ASU91303
ASU91302.1		ASU91302	ASU91302
ASU91301.1		ASU91301	ASU91301
ASU91300.1		ASU91300	ASU91300
ASU91299.1		ASU91299	ASU91299
ASU91298.1		ASU91298	ASU91298
ASU91297.1		ASU91297	ASU91297
ASU91296.1		ASU91296	ASU91296
ASU91295.1		ASU91295	ASU91295
ASU91294.1		ASU91294	ASU91294
ASU91293.1		ASU91293	ASU91293
ASU91292.1		ASU91292	ASU91292
ASU91291.1		ASU91291	ASU91291
ASU91290.1		ASU91290	ASU91290
ASU91289.1		ASU91289	ASU91289
ASU91288.1		ASU91288	ASU91288
ASU91287.1		ASU91287	ASU91287
ASU91286.1		ASU91286	ASU91286
ASU91285.1		ASU91285	ASU91285
ASU91284.1		ASU91284	ASU91284
ASU91283.1		ASU91283	ASU91283
ASU91282.1		ASU91282	ASU91282
ASU91281.1		ASU91281	ASU91281
ASU91280.1		ASU91280	ASU91280
ASU91279.1		ASU91279	ASU91279
ASU91278.1		ASU91278	ASU91278
ASU91277.1		ASU91277	ASU91277
ASU91276.1		ASU91276	ASU91276
ASU91275.1		ASU91275	ASU91275
ASU91274.1		ASU91274	ASU91274
ASU91273.1		ASU91273	ASU91273
ASU91272.1		ASU91272	ASU91272
ASU91271.1		ASU91271	ASU91271
ASU91270.1		ASU91270	ASU91270
ASU91269.1		ASU91269	ASU91269
ASU91268.1		ASU91268	ASU91268
ASU91267.1		ASU91267	ASU91267
ASU91266.1		ASU91266	ASU91266
ASU91265.1		ASU91265	ASU91265
ASU91264.1		ASU91264	ASU91264
ASU91263.1		ASU91263	ASU91263
ASU91262.1		ASU91262	ASU91262
ASU91261.1		ASU91261	ASU91261
ASU91260.1		ASU91260	ASU91260
ASU91259.1		ASU91259	ASU91259
ASU91258.1		ASU91258	ASU91258
ASU91257.1		ASU91257	ASU91257
ASU91256.1		ASU91256	ASU91256
ASU91255.1		ASU91255	ASU91255
ASU91254.1		ASU91254	ASU91254
ASU91253.1		ASU91253	ASU91253
ASU91252.1		ASU91252	ASU91252
ASU91251.1		ASU91251	ASU91251
ASU91250.1		ASU91250	ASU91250
ASU91249.1		ASU91249	ASU91249
ASU91248.1		ASU91248	ASU91248
ASU91247.1		ASU91247	ASU91247
ASU91246.1		ASU91246	ASU91246
ASU91245.1		ASU91245	ASU91245
ASU91244.1		ASU91244	ASU91244
ASU91243.1		ASU91243	ASU91243
ASU91242.1		ASU91242	ASU91242
ASU91241.1		ASU91241	ASU91241
ASU91240.1		ASU91240	ASU91240
ASU91239.1		ASU91239	ASU91239
ASU91238.1		ASU91238	ASU91238
ASU91237.1		ASU91237	ASU91237
ASU91236.1		ASU91236	ASU91236
ASU91235.1		ASU91235	ASU91235
ASU91234.1		ASU91234	ASU91234
ASU91233.1		ASU91233	ASU91233
ASU91232.1		ASU91232	ASU91232
ASU91231.1		ASU91231	ASU91231
ASU91230.1		ASU91230	ASU91230
ASU91229.1		ASU91229	ASU91229
ASU91228.1		ASU91228	ASU91228
ASU91227.1		ASU91227	ASU91227
ASU91226.1		ASU91226	ASU91226
ASU91225.1		ASU91225	ASU91225
ASU91224.1		ASU91224	ASU91224
ASU91223.1		ASU91223	ASU91223
ASU91222.1		ASU91222	ASU91222
ASU91221.1		ASU91221	ASU91221
ASU91220.1		ASU91220	ASU91220
ASU91219.1		ASU91219	ASU91219
ASU91218.1		ASU91218	ASU91218
ASU91217.1		ASU91217	ASU91217
ASU91216.1		ASU91216	ASU91216
ASU91215.1		ASU91215	ASU91215
ASU91214.1		ASU91214	ASU91214
ASU91213.1		ASU91213	ASU91213
ASU91212.1		ASU91212	ASU91212
ASU91211.1		ASU91211	ASU91211
ASU91210.1		ASU91210	ASU91210
ASU91209.1		ASU91209	ASU91209
ASU91208.1		ASU91208	ASU91208
ASU91207.1		ASU91207	ASU91207
ASU91206.1		ASU91206	ASU91206
ASU91205.1		ASU91205	ASU91205
ASU91204.1		ASU91204	ASU91204
ASU91203.1		ASU91203	ASU91203
ASU91202.1		ASU91202	ASU91202
ASU91201.1		ASU91201	ASU91201
ASU91200.1		ASU91200	ASU91200
ASU91199.1		ASU91199	ASU91199
ASU91198.1		ASU91198	ASU91198
ASU91197.1		ASU91197	ASU91197
ASU91196.1		ASU91196	ASU91196
ASU91195.1		ASU91195	ASU91195
ASU91194.1		ASU91194	ASU91194
ASU91193.1		ASU91193	ASU91193
ASU91192.1		ASU91192	ASU91192
ASU91191.1		ASU91191	ASU91191
ASU91190.1		ASU91190	ASU91190
ASU91189.1		ASU91189	ASU91189
ASU91188.1		ASU91188	ASU91188
ASU91187.1		ASU91187	ASU91187
ASU91186.1		ASU91186	ASU91186
ASU91185.1		ASU91185	ASU91185
ASU91184.1		ASU91184	ASU91184
ASU91183.1		ASU91183	ASU91183
ASU91182.1		ASU91182	ASU91182
ASU91181.1		ASU91181	ASU91181
ASU91180.1		ASU91180	ASU91180
ASU91179.1		ASU91179	ASU91179
ASU91178.1		ASU91178	ASU91178
ASU91177.1		ASU91177	ASU91177
ASU91176.1		ASU91176	ASU91176
ASU91175.1		ASU91175	ASU91175
ASU91174.1		ASU91174	ASU91174
ASU91173.1		ASU91173	ASU91173
ASU91172.1		ASU91172	ASU91172
ASU91171.1		ASU91171	ASU91171
ASU91170.1		ASU91170	ASU91170
ASU91169.1		ASU91169	ASU91169
ASU91168.1		ASU91168	ASU91168
ASU91167.1		ASU91167	ASU91167
ASU91166.1		ASU91166	ASU91166
ASU91165.1		ASU91165	ASU91165
ASU91164.1		ASU91164	ASU91164
ASU91163.1		ASU91163	ASU91163
ASU91162.1		ASU91162	ASU91162
ASU91161.1		ASU91161	ASU91161
ASU91160.1		ASU91160	ASU91160
ASU91159.1		ASU91159	ASU91159
ASU91158.1		ASU91158	ASU91158
ASU91157.1		ASU91157	ASU91157
ASU91156.1		ASU91156	ASU91156
ASU91155.1		ASU91155	ASU91155
ASU91154.1		ASU91154	ASU91154
ASU91153.1		ASU91153	ASU91153
ASU91152.1		ASU91152	ASU91152
ASU91151.1		ASU91151	ASU91151
ASU91150.1		ASU91150	ASU91150
ASU91149.1		ASU91149	ASU91149
ASU91148.1		ASU91148	ASU91148
ASU91147.1		ASU91147	ASU91147
ASU91146.1		ASU91146	ASU91146
ASU91145.1		ASU91145	ASU91145
ASU91144.1		ASU91144	ASU91144
ASU91143.1		ASU91143	ASU91143
ASU91142.1		ASU91142	ASU91142
ASU91141.1		ASU91141	ASU91141
ASU91140.1		ASU91140	ASU91140
ASU91139.1		ASU91139	ASU91139
ASU91138.1		ASU91138	ASU91138
ASU91137.1		ASU91137	ASU91137
ASU91136.1		ASU91136	ASU91136
ASU91135.1		ASU91135	ASU91135
ASU91134.1		ASU91134	ASU91134
ASU91133.1		ASU91133	ASU91133
ASU91132.1		ASU91132	ASU91132
ASU91131.1		ASU91131	ASU91131
ASU91130.1		ASU91130	ASU91130
ASU91129.1		ASU91129	ASU91129
ASU91128.1		ASU91128	ASU91128
ASU91127.1		ASU91127	ASU91127
ASU91126.1		ASU91126	ASU91126
ASU91125.1		ASU91125	ASU91125
ASU91124.1		ASU91124	ASU91124
ASU91123.1		ASU91123	ASU91123
ASU91122.1		ASU91122	ASU91122
ASU91121.1		ASU91121	ASU91121
ASU91120.1		ASU91120	ASU91120
ASU91119.1		ASU91119	ASU91119
ASU91118.1		ASU91118	ASU91118
ASU91117.1		ASU91117	ASU91117
ASU91116.1		ASU91116	ASU91116
ASU91115.1		ASU91115	ASU91115
ASU91114.1		ASU91114	ASU91114
ASU91113.1		ASU91113	ASU91113
ASU91112.1		ASU91112	ASU91112
ASU91111.1		ASU91111	ASU91111
ASU91110.1		ASU91110	ASU91110
ASU91109.1		ASU91109	ASU91109
ASU91108.1		ASU91108	ASU91108
ASU91107.1		ASU91107	ASU91107
ASU91106.1		ASU91106	ASU91106
ASU91105.1		ASU91105	ASU91105
ASU91104.1		ASU91104	ASU91104
ASU91103.1		ASU91103	ASU91103
ASU91102.1		ASU91102	ASU91102
ASU91101.1		ASU91101	ASU91101
ASU91100.1		ASU91100	ASU91100
ASU91099.1		ASU91099	ASU91099
ASU91098.1		ASU91098	ASU91098
ASU91097.1		ASU91097	ASU91097
ASU91096.1		ASU91096	ASU91096
ASU91095.1		ASU91095	ASU91095
ASU91094.1		ASU91094	ASU91094
ASU91093.1		ASU91093	ASU91093
ASU91092.1		ASU91092	ASU91092
ASU91091.1		ASU91091	ASU91091
ASU91090.1		ASU91090	ASU91090
ASU91089.1		ASU91089	ASU91089
ASU91088.1		ASU91088	ASU91088
ASU91087.1		ASU91087	ASU91087
ASU91086.1		ASU91086	ASU91086
ASU91085.1		ASU91085	ASU91085
ASU91084.1		ASU91084	ASU91084
ASU91083.1		ASU91083	ASU91083
ASU91082.1		ASU91082	ASU91082
ASU91081.1		ASU91081	ASU91081
ASU91080.1		ASU91080	ASU91080
ASU91079.1		ASU91079	ASU91079
ASU91078.1		ASU91078	ASU91078
ASU91077.1		ASU91077	ASU91077
ASU91076.1		ASU91076	ASU91076
ASU91075.1		ASU91075	ASU91075
ASU91074.1		ASU91074	ASU91074
ASU91073.1		ASU91073	ASU91073
ASU91072.1		ASU91072	ASU91072
ASU91071.1		ASU91071	ASU91071
ASU91070.1		ASU91070	ASU91070
ASU91069.1		ASU91069	ASU91069
ASU91068.1		ASU91068	ASU91068
ASU91067.1		ASU91067	ASU91067
ASU91066.1		ASU91066	ASU91066
ASU91065.1		ASU91065	ASU91065
ASU91064.1		ASU91064	ASU91064
ASU91063.1		ASU91063	ASU91063
ASU91062.1		ASU91062	ASU91062
ASU91061.1		ASU91061	ASU91061
ASU91060.1		ASU91060	ASU91060
ASU91059.1		ASU91059	ASU91059
ASU91058.1		ASU91058	ASU91058
ASU91057.1		ASU91057	ASU91057
ASU91056.1		ASU91056	ASU91056
ASU91055.1		ASU91055	ASU91055
ASU91054.1		ASU91054	ASU91054
ASU91053.1		ASU91053	ASU91053
ASU91052.1		ASU91052	ASU91052
ASU91051.1		ASU91051	ASU91051
ASU91050.1		ASU91050	ASU91050
ASU91049.1		ASU91049	ASU91049
ASU91048.1		ASU91048	ASU91048
ASU91047.1		ASU91047	ASU91047
ASU91046.1		ASU91046	ASU91046
ASU91045.1		ASU91045	ASU91045
ASU91044.1		ASU91044	ASU91044
ASU91043.1		ASU91043	ASU91043
ASU91042.1		ASU91042	ASU91042
ASU91041.1		ASU91041	ASU91041
ASU91040.1		ASU91040	ASU91040
ASU91039.1		ASU91039	ASU91039
